Player,Nationality,Height,born,Age
Fábio Vieira,Portugal,170,5/30/2000,23
Fábio Carvalho,Portugal,170,8/30/2002,20
Julián Álvarez,Argentina,170,1/31/2000,23
Fred,Brazil,169,3/5/1993,30
Tyrell Malacia,Netherlands,169,8/17/1999,23
Manuel Lanzini,Argentina,167,2/15/1993,30
Nampalys Mendy,Senegal,167,6/23/1992,31
Manor Solomon,Israel,167,7/24/1999,24
Daniel Podence,Portugal,165,10/21/1995,27
Ryan Fraser,Scotland,163,2/24/1994,29
Tariq Lamptey,Ghana,163,9/30/2000,22
Nathaniel Clyne,England,175,4/5/1991,32
Diego Llorente,Spain,186,8/16/1993,29
Albert Sambi Lokonga,Belgium,173,10/22/1999,23
Matt Doherty,Ireland,185,1/16/1992,31
Lewis O'Brien,England,173,10/14/1998,24
Jack Colback,England,177,10/24/1989,33
Robert Sánchez,Spain,197,11/18/1997,25
Illia Zabarnyi,Ukraine,189,9/1/2002,20
Japhet Tanganga,England,184,3/31/1999,24
Marc Albrighton,England,175,11/18/1989,33
Cédric Soares,Portugal,172,8/31/1991,31
Kepa,Spain,189,10/3/1994,28
Gavin Bazunu,Ireland,189,2/20/2002,21
Ryan Fredericks,England,181,10/10/1992,30
Gonçalo Guedes,Portugal,179,11/29/1996,26
Bryan Gil,Spain,175,2/11/2001,22
Hugo Lloris,France,188,12/26/1986,36
Javier Manquillo,Spain,178,5/5/1994,29
Emiliano Martínez,Argentina,195,9/2/1992,30
Alex McCarthy,England,193,12/3/1989,33
Matt Ritchie,Scotland,172,9/10/1989,33
Bernd Leno,Germany,189,3/4/1992,31
Aaron Ramsdale,England,188,5/14/1998,25
Danny Ward,Wales,178,12/9/1990,32
Lukasz Fabianski,Poland,190,4/18/1985,38
Vicente Guaita,Spain,190,1/10/1987,36
Neto,Brazil,190,7/19/1989,34
Nick Pope,England,191,4/19/1992,31
Daniel Iversen,Denmark,193,7/19/1997,26
Fraser Forster,England,201,3/17/1988,35
Sam Johnstone,England,193,3/25/1993,30
Stefan Ortega,Germany,185,11/6/1992,30
Robin Olsen,Sweden,198,1/8/1990,33
Joel Robles,Spain,195,6/17/1990,33
Wayne Hennessey,Wales,198,1/24/1987,36
Alphonse Aréola,France,195,2/27/1993,30
